TimeStamp,sst,sd,dlprbUsage,partition
18:29:28,1,16777210,0.000000,11
18:29:28,1,0,0.000000,40
18:29:30,1,16777210,0.000000,11
18:29:30,1,0,0.000000,40
18:29:32,1,16777210,0.000000,11
18:29:32,1,0,0.000000,40
18:29:34,1,16777210,0.000000,11
18:29:34,1,0,0.000000,40
18:29:36,1,16777210,0.000000,11
18:29:36,1,0,0.000000,40
18:29:38,1,16777210,0.000000,11
18:29:38,1,0,0.000000,40
18:29:40,1,16777210,0.000000,11
18:29:40,1,0,0.000000,40
18:29:42,1,16777210,0.000000,11
18:29:42,1,0,0.000000,40
18:29:44,1,16777210,0.000000,11
18:29:44,1,0,0.000000,40
18:29:46,1,16777210,0.000000,11
18:29:46,1,0,0.000000,40
18:29:48,1,16777210,0.000000,11
18:29:48,1,0,0.000000,40
18:29:50,1,16777210,0.000000,11
18:29:50,1,0,0.000000,40
18:29:52,1,16777210,0.000000,11
18:29:52,1,0,0.000000,40
18:29:54,1,16777210,0.000000,11
18:29:54,1,0,0.000000,40
18:29:56,1,16777210,0.000000,11
18:29:56,1,0,0.000000,40
18:29:58,1,16777210,0.000000,11
18:29:58,1,0,0.000000,40
18:30:00,1,16777210,0.000000,11
18:30:00,1,0,0.000000,40
18:30:02,1,16777210,0.000000,11
18:30:02,1,0,0.000000,40
18:30:04,1,16777210,0.000000,11
18:30:04,1,0,0.000000,40
18:30:06,1,16777210,0.000000,11
18:30:06,1,0,0.000000,40
18:30:08,1,16777210,0.000000,11
18:30:08,1,0,0.000000,40
18:30:10,1,16777210,0.000000,11
18:30:10,1,0,0.000000,40
18:30:12,1,16777210,0.000000,11
18:30:12,1,0,0.000000,40
18:30:14,1,16777210,0.000000,11
18:30:14,1,0,0.000000,40
18:30:16,1,16777210,0.000000,11
18:30:16,1,0,0.000000,40
18:30:18,1,16777210,0.000000,11
18:30:18,1,0,0.000000,40
18:30:20,1,16777210,0.000000,11
18:30:20,1,0,0.000000,40
18:30:22,1,16777210,0.000000,11
18:30:22,1,0,0.000000,40
18:30:24,1,16777210,0.000000,11
18:30:24,1,0,0.000000,40
18:30:26,1,16777210,0.000000,11
18:30:26,1,0,0.000000,40
18:30:28,1,16777210,0.000000,11
18:30:28,1,0,0.000000,40
18:30:30,1,16777210,0.000000,11
18:30:30,1,0,0.000000,40
18:30:32,1,16777210,0.000000,11
18:30:32,1,0,0.000000,40
18:30:34,1,16777210,0.000000,11
18:30:34,1,0,0.000000,40
18:30:36,1,16777210,0.000000,11
18:30:36,1,0,0.000000,40
18:30:38,1,16777210,0.000000,11
18:30:38,1,0,0.000000,40
18:30:40,1,16777210,0.000000,11
18:30:40,1,0,0.000000,40
18:30:42,1,16777210,0.000000,11
18:30:42,1,0,0.000000,40
18:30:44,1,16777210,0.000000,11
18:30:44,1,0,0.000000,40
18:30:46,1,16777210,0.000000,11
18:30:46,1,0,0.000000,40
18:30:48,1,16777210,0.000000,11
18:30:48,1,0,0.000000,40
18:30:50,1,16777210,0.000000,11
18:30:50,1,0,0.000000,40
18:30:52,1,16777210,0.000000,11
18:30:52,1,0,0.000000,40
18:30:54,1,16777210,0.000000,11
18:30:54,1,0,0.000000,40
18:30:56,1,16777210,0.000000,11
18:30:56,1,0,0.000000,40
18:30:58,1,16777210,0.000000,11
18:30:58,1,0,0.000000,40
18:31:00,1,16777210,0.000000,11
18:31:00,1,0,0.000000,40
18:31:02,1,16777210,0.000000,11
18:31:02,1,0,0.000000,40
18:31:04,1,16777210,0.000000,11
