Actual,Predicted
5.591,5.448137
5.726000000000001,5.179287
5.578,5.4265075
5.497,5.2031484
4.855,5.2279334
5.621,4.486217
5.75,5.3760023
6.26,5.2291083
6.519,6.169001
6.464,6.287278
6.9,6.325034
6.88,6.7022595
7.258,6.536513
7.548999999999999,7.066497
7.713999999999999,7.3196955
7.208,7.5527825
7.215000000000001,6.822286
6.664,6.8578467
6.534999999999999,6.1113734
6.923,6.1762877
6.912999999999999,6.489625
6.606999999999999,6.5794783
6.287999999999999,6.2958117
6.239,5.9737062
6.162,5.9175925
6.003,5.7913685
5.797,5.6704235
5.798,5.4550085
5.796,5.49586
5.199,5.473634
4.699,4.8576226
4.718999999999999,4.429639
4.32,4.429413
3.944,3.9718192
3.727,3.7018242
3.722,3.491396
3.588,3.5222168
3.548,3.3691006
3.395,3.3646133
3.468,3.1959937
3.547,3.3150554
3.322,3.3664331
3.4770000000000003,3.1335993
3.65,3.3370447
3.727,3.4801595
3.5480000000000005,3.5802383
3.471,3.3753815
3.407,3.310764
3.5460000000000003,3.2334824
3.552,3.3961294
3.5200000000000005,3.3691876
3.5380000000000003,3.3610272
3.579,3.3832855
3.522,3.42213
3.301,3.3515804
3.251,3.119203
3.153,3.0905542
3.101,2.9797049
2.928,2.9471595
3.164,2.7619061
3.027,3.051673
3.0170000000000003,2.8591325
2.911,2.8940532
2.7960000000000003,2.7708051
2.871,2.673377
2.948,2.7671595
3.037,2.8364916
3.129,2.931877
3.248,3.0272634
2.932,3.1477048
3.344,2.7814124
3.462,3.2570677
3.595,3.296543
3.781,3.4996579
4.051,3.67874
4.097,3.9594798
4.35,3.97241
4.595000000000001,4.2389946
4.6530000000000005,4.436464
4.724,4.5202174
4.343999999999999,4.562393
4.3020000000000005,4.0848536
4.185,4.087491
4.039,3.8896322
3.830000000000001,3.7913134
3.673,3.579326
3.471,3.4543443
3.2410000000000005,3.2536237
3.0580000000000003,3.045908
2.939,2.8783836
3.001,2.7773304
3.2299999999999995,2.867721
3.064,3.108796
2.842,2.9047823
2.633,2.7046986
2.604,2.500667
2.525,2.5004487
2.406,2.4085534
2.999,2.280459
3.076,2.9557288
3.091,2.9608026
2.881,2.9973185
3.0420000000000003,2.7630975
3.075,2.9684489
3.1790000000000003,2.96334
3.281,3.0735111
3.287,3.1658456
3.371,3.174959
2.833,3.2624533
2.919,2.6349108
2.898,2.7873898
2.878,2.7288663
2.857,2.7486534
2.899,2.7311764
3.035,2.7914748
3.004,2.94475
3.0089999999999995,2.8900502
3.012,2.8985322
2.8549999999999995,2.8988352
2.673,2.7239902
2.516,2.5373766
2.5380000000000003,2.3815603
2.4130000000000003,2.4327226
2.28,2.2933743
2.0460000000000003,2.1663961
1.932,1.9353873
1.873,1.855763
1.7239999999999998,1.8266898
