normalised_time (min),dlprbUsage
3045,26.209000000000003
3050,25.444
3055,24.81
3060,23.788
3065,24.283
3070,24.076999999999998
3075,23.496000000000002
3080,23.205000000000002
3085,22.912
3090,22.322
3095,22.289
3100,22.292
3105,21.549
3110,21.309
3115,19.744
3120,19.413
3125,18.402
3130,18.301000000000002
3135,17.203
3140,16.208
3145,15.763
3150,14.844999999999999
3155,14.127
3160,13.499
3165,13.384
3170,13.087
3175,12.894
3180,12.04
3185,11.703
3190,11.876
3195,11.297
3200,10.91
3205,10.474
3210,9.883
3215,9.426
3220,8.925999999999998
3225,8.954
3230,8.849
3235,8.611
3240,7.5969999999999995
3245,7.505000000000001
3250,7.126
3255,6.7700000000000005
3260,6.773000000000001
3265,6.897
3270,7.289
3275,6.917
3280,6.790000000000001
3285,6.5489999999999995
3290,6.639
3295,6.651000000000001
3300,6.618
3305,6.447
3310,6.632000000000001
3315,6.625
3320,5.837999999999999
3325,5.848000000000001
3330,5.548
3335,5.4350000000000005
3340,5.041
3345,4.634
3350,4.390000000000001
3355,4.462000000000001
3360,4.398000000000001
3365,3.8939999999999997
3370,3.6699999999999995
3375,3.4189999999999996
3380,3.2729999999999997
3385,3.3939999999999997
3390,3.396
3395,3.13
3400,3.041
3405,2.7600000000000002
3410,2.593
3415,2.7150000000000003
3420,2.765
3425,2.9530000000000003
3430,2.998
3435,2.9080000000000004
3440,3.309
3445,3.496
3450,3.6079999999999997
3455,3.653
3460,3.3890000000000002
3465,3.247
3470,3.317
3475,3.187
3480,3.0420000000000003
3485,2.843
3490,2.453
3495,2.3310000000000004
3500,2.181
3505,2.081
3510,1.972
3515,1.826
3520,1.625
3525,1.5079999999999998
3530,1.474
3535,1.45
3540,1.369
3545,1.3699999999999999
3550,1.3439999999999999
3555,1.267
3560,1.193
3565,1.293
3570,1.316
3575,1.3900000000000001
3580,1.4449999999999998
3585,1.543
3590,1.673
3595,1.6350000000000002
3600,1.693
3605,1.816
3610,1.9590000000000003
3615,2.249
3620,2.369
3625,2.384
3630,2.63
3635,2.5970000000000004
3640,2.524
3645,2.4850000000000003
3650,2.348
3655,2.3240000000000003
3660,2.7540000000000004
3665,2.3890000000000002
3670,2.343
3675,2.343
3680,2.1790000000000003
3685,2.436
3690,2.534
3695,2.491
3700,2.6100000000000003
3705,2.539
3710,1.999
3715,1.954
3720,1.846
3725,1.7880000000000003
3730,1.6059999999999999
3735,1.243
3740,1.065
3745,1.107
3750,5.596922924996976
3755,5.531827290863695
3760,6.120272709823081
3765,5.845939476679498
3770,5.98954804898596
3775,6.150053174873976
3780,6.455692220111677
3785,6.427970006417634
3790,6.468931315257885
3795,6.300439292712859
3800,6.386192615769761
3805,6.578648769153476
3810,6.307854163695224
3815,6.172734432645099
3820,6.059399132400143
3825,6.106882009875233
3830,6.045935258680063
3835,6.001265953266703
3840,5.886264235659803
3845,6.456046110597184
3850,6.485558466678555
3855,6.499024053948972
3860,6.9771368163573495
3865,6.927630345236284
3870,6.924335364482614
3875,6.907874546941467
3880,6.80308321745157
3885,7.241581857381661
3890,7.330109879871321
3895,6.765042289530241
3900,6.243460502024304
3905,5.601204821636964
3910,5.0831226584689615
3915,5.1174484462958105
3920,5.180335974253909
3925,4.853525889971777
3930,4.537236229556545
3935,4.172945516486614
3940,3.7652652871797345
3945,3.8712370427796623
3950,4.108465916811381
3955,4.668122910373719
3960,4.8895539047533525
3965,4.972003769551354
3970,4.541530556709786
3975,5.048518309778229
3980,5.06026506294579
3985,4.666013128189474
3990,4.624060919651077
3995,4.469320224465358
4000,4.285739569303775
4005,4.144764568697517
4010,3.6352731640792917
4015,3.0781049646156324
4020,2.7026686718405513
4025,2.1179460680038327
4030,2.337561563730513
4035,2.5263274891949883
4040,2.777660682678912
4045,3.0499519898832466
4050,3.15102931181683
4055,2.8510574168270275
4060,2.8195386477471476
4065,2.9886955188977917
4070,3.4151579043113776
4075,3.5161954946347826
4080,3.0943199306279747
4085,2.9329057596671775
4090,2.838206785226842
4095,2.514032793865772
4100,2.347524472985281
4105,2.4836844019527
4110,2.5146022955803145
4115,2.291540483019786
4120,2.3809265652914187
4125,2.7695361286858553
4130,3.1143575415848046
4135,3.3076893456582033
4140,3.9119586525780456
4145,4.033499066410471
4150,4.135269996552665
4155,4.35650292014485
4160,4.782509167799259
4165,5.247886815279843
4170,5.389840196965315
4175,4.794523663094981
4180,5.19312913318536
4185,5.026945114118257
4190,4.398414048175798
4195,4.284234882348889
4200,4.482693859887889
4205,4.0221081025936325
4210,3.722328705367567
4215,3.6928833080614547
4220,3.3718175901136243
4225,3.704263763803992
4230,3.1174305161828
4235,3.109450161814035
4240,3.2760567868444914
4245,3.508114720712372
4250,2.833954733677109
4255,2.8809729411691847
4260,3.2847404561979063
4265,2.9041578063775386
4270,2.676338848939463
4275,2.8601683558002486
4280,3.0039708891087225
4285,2.995397048815635
4290,3.1297537929013024
4295,3.086951316411233
4300,3.487140142230918
4305,3.6411057055627176
4310,3.4613133826235534
4315,3.636739100811006
4320,3.878284316045036
4325,3.735802372862568
4330,3.7548992481335675
4335,3.971705307425167
4340,3.575152714930347
4345,3.5085579427539217
4350,3.490750941974121
4355,3.7405314452412464
4360,3.8566786144253635
4365,3.6215573229256406
4370,3.755894744957473
4375,3.5633054092464094
4380,3.6242969219918466
4385,3.116466187895688
4390,3.4454569992912205
4395,3.316530699029298
4400,2.9436041591085775
4405,2.6714480880153957
4410,2.297481212292528
4415,2.507261591041111
4420,2.1673639466872605
4425,1.6783768274402053
4430,1.2809554625485748
4435,1.1070902799173343
4440,0.8641817445455239
4445,0.5475066412541507
4450,0.9063068771671695
4455,0.6848374956913765
4460,0.7572454434591815
4465,0.9272905464222777
4470,0.980272795857514
4475,1.5089746455346051
4480,1.628407605727053
4485,1.9759712813723689
4490,1.7649636493110044
4495,2.016484565504668
4500,1.8530508870597107
4505,2.032560834854803
4510,2.052408758021003
4515,1.9083703961185825
4520,2.037731945155987
4525,1.881393031028321
4530,2.0220481028045123
4535,1.7069667194178169
4540,1.7594284168850638
4545,1.9743196888875207
4550,2.2006793001113607
4555,2.0787189521439347
4560,1.9068363204913197
4565,2.1365164399394927
4570,2.22542036061651
4575,2.291320670711341
4580,2.024828069651052
4585,2.883717238754302
4590,3.2431908458655476
4595,2.918635557955548
4600,2.466616809292944
4605,2.4995608618751985
4610,2.3784197059886125
4615,1.8351057829815687
4620,1.8305239511739153
4625,1.7512962961894698
4630,1.488448813535971
4635,1.156242760557731
4640,0.9019490902316545
4645,1.0488936802516569
4650,0.992159458484768
4655,1.114621250108883
4660,0.8149684345225264
4665,0.6818912130275941
4670,0.4691469840181213
4675,0.27580003211663945
4680,0.7418752283164197
4685,1.0104702688553655
4690,1.0344157444310214
4695,0.8723567731366341
4700,1.159502354303013
4705,0.786642906761484
4710,1.1478858116543147
4715,0.9424672729950341
4720,0.9110434354739683
4725,1.2357623007719862
4730,0.9140572594920219
4735,0.23221915027762846
4740,0.3151276137127898
4745,0.2013474728287484
4750,0.26328828233415574
4755,0.45086128486163063
4760,0.02400719796476398
4765,0.3696898663586786
4770,0.2272100391664496
4775,-0.0035287052485340254
4780,0.22578601527839912
4785,0.1113584360149942
4790,0.3212588306835616
4795,0.6670555487941721
4800,0.5559232348297458
4805,1.0058212814574876
4810,1.611937563230874
4815,1.7586682780097291
4820,1.4703410398023082
4825,1.5396147387818595
4830,1.531094096467212
4835,1.8754284245013975
4840,1.870783754579006
4845,1.7417034747212472
4850,2.036470561114167
4855,1.4331284367521886
4860,1.4179661036480686
4865,1.623460166276086
4870,2.218695296271295
4875,2.3417605189819906
4880,2.2444980479243783
4885,2.6498585085460133
4890,2.5881335010474356
4895,3.067113852835969
4900,3.025458537798836
4905,3.585697629934894
4910,3.992662373095842
4915,4.106618726379679
4920,4.6056238431388365
4925,4.518575647128138
4930,4.727321131691807
4935,4.623848508043473
4940,4.769612826376478
4945,4.838733703726378
4950,4.860432676375944
4955,4.698136004726859
4960,4.204603986028931
4965,3.8503771665105773
4970,3.439618866457954
4975,3.315478777252084
4980,3.350943293361322
4985,3.198890751440628
4990,3.077172417569649
4995,2.690681072216576
5000,2.78350525182787
5005,2.5817501741789224
5010,2.4850067763157027
5015,2.7955522206432923
5020,3.1479574641287544
5025,3.5355644120452814
5030,3.505054500696832
5035,3.7614797005175618
5040,3.8729335171557677
5045,4.412911024160135
5050,4.105120620524916
5055,4.473562360596457
5060,5.242610627232588
5065,5.326380881340131
5070,5.239816979225064
5075,5.717965727749099
5080,5.6794877380207565
5085,5.72414175546115
5090,5.766172167284379
5095,5.16890024668431
5100,5.915111280966068
5105,6.128118440403589
5110,5.389033137389257
5115,5.986717737883608
5120,6.3680238093911745
5125,6.094422755853805
5130,6.366972985366304
5135,6.297961550179499
5140,6.481270420980373
5145,7.045056846215672
5150,6.763700669738997
5155,6.069910774641324
5160,6.707519067704242
5165,5.753263811100967
5170,4.867984208914382
5175,4.4279215534485346
5180,4.609158831767678
5185,4.491875342902358
5190,3.911083812256379
5195,3.6130571809444403
5200,3.292961471636436
5205,3.8018303743915354
5210,3.4951705291827286
5215,3.8381655145605507
5220,4.352073421499611
5225,4.394114937494843
5230,4.090601722691781
5235,3.807505253672132
5240,4.192155216385211
5245,4.060265564924764
5250,4.365226839656293
5255,4.077092476850359
5260,3.6294741007789204
5265,3.429056947377471
5270,3.0118188662695724
5275,2.9858017941064405
5280,2.9618483838414478
5285,3.4590586097720064
5290,2.8500521969471344
5295,2.7442696971705276
5300,2.3184865192433435
5305,2.2998154673128113
5310,2.805897187370019
5315,2.9089688378373815
5320,3.245576342778964
5325,3.256986374032889
5330,3.3051528631381144
5335,2.6367149752783314
5340,2.5922677297170713
5345,2.4804904498264504
5350,2.8561415783330073
5355,2.7035156213391778
5360,2.5805173385376996
5365,2.495222002361653
5370,2.215385196958657
5375,2.3496753017159158
5380,2.0882407751338903
5385,2.223602639865011
5390,2.4026113905471784
5395,2.707097160102635
5400,2.410949295401961
5405,2.7406307550755926
5410,2.557720140019053
5415,2.1264672376120983
5420,1.9814974366714704
5425,1.600967342393512
5430,1.6953727237658296
5435,2.0567834547189583
5440,2.490997163419665
5445,2.465819836914099
5450,2.51603792198368
5455,2.6378924231561376
5460,2.703062449421183
5465,2.865239235291267
5470,3.2016278040310766
5475,2.8701564644789075
5480,2.465991139075683
5485,1.9415323898719588
5490,1.9257189454111832
5495,1.5105706613232828
5500,1.1767027123287264
5505,0.637184186082844
5510,0.5253792479576971
5515,0.5980776338175684
5520,0.8085411539807401
5525,1.500062946042328
5530,1.912792278818762
5535,2.2579095782644205
5540,2.071915046995301
5545,2.311792827445676
5550,2.92715519474346
5555,2.853797786074599
5560,3.001058149476857
5565,3.3148471980069893
5570,2.9805868678077982
5575,2.966357495461531
5580,2.754744561426893
5585,2.5713587072701665
5590,2.631151966373647
5595,3.0308114228836023
5600,2.2759729634951382
5605,2.87724395534842
5610,2.7575384234331883
5615,2.5898942971551793
5620,2.4834339675070867
5625,2.4024233945930797
5630,2.9997072229321615
5635,3.6896504283086857
5640,3.7953573974807293
5645,3.529290248316164
5650,4.251288806145696
5655,4.179607643923699
5660,4.588728388258206
5665,4.678147891249237
5670,4.688559533208204
5675,5.094583523487165
5680,4.653863980892099
5685,4.20669040376463
5690,4.308224212856339
5695,4.17366029646711
5700,3.8099941864726885
5705,3.6596468484851634
5710,3.3065263926580832
5715,3.1722763966249063
5720,3.019556817659228
5725,2.565337122890559
5730,2.4871946482580847
5735,2.6782678015705175
5740,2.361664928688877
5745,2.1824751554522988
5750,1.9556436518057083
5755,2.0096933907160346
5760,2.1505437372107457
5765,2.251081196266514
5770,2.399780606747377
5775,2.6084916328140277
5780,2.864862987515397
5785,2.8336455959060887
5790,2.5471640617281155
5795,2.727187306629153
5800,3.1765528934949474
5805,2.916595363333004
5810,2.8347604522675747
5815,3.102323605132148
5820,2.8887819065814933
5825,3.0204414540855593
5830,2.8671274614527698
5835,2.396855357230449
5840,2.6488383992322966
5845,2.4348839053980447
5850,2.162294219000325
5855,2.14473923494181
5860,1.9024592793638864
5865,1.4824828734001652
5870,1.9657757404680098
5875,1.4096664510103762
5880,1.4052040404902457
5885,0.9937367866832432
5890,1.0222419029175651
5895,0.9595163451816326
5900,0.7005202893497928
5905,0.5121814423227522
5910,0.3945879329782156
5915,-0.022609293272863297
5920,-0.18131333038407638
5925,-0.047056209937950635
5930,-0.24471113160488
5935,0.12323873477168457
5940,-0.10323274807874025
5945,0.039588257681396496
5950,0.3986530812427976
5955,0.5935054812810786
5960,0.8935562788420182
5965,1.087056652066091
5970,0.7785273862951207
5975,0.5178301161100817
5980,0.6096873778624962
5985,0.7580295203898896
5990,0.5130488807891622
5995,0.420301919141541
6000,0.1145034535200938
6005,-0.12591753747121948
6010,-0.1910849730717866
6015,-0.033519291228743066
6020,-0.0352522145060371
6025,0.3496371138106652
6030,0.16936612498376666
6035,-0.15475034655520886
6040,0.31250522088386284
6045,0.3670334017714871
6050,0.8428369170195211
6055,1.2502634276197573
6060,1.8049950792186844
6065,1.8839143498814928
6070,1.8192377803150284
6075,1.5977804791117882
6080,1.6305510757839663
6085,1.7201424892982449
6090,1.7909135544064838
6095,1.577351615473326
6100,1.2597957834522906
6105,1.108040084750876
6110,0.40994012663044455
6115,0.5205216952958598
6120,0.7734652871221949
6125,1.2146243956529155
6130,1.8218292957493194
6135,1.9824911194669497
6140,2.0989938498333363
6145,2.8105767346174884
6150,3.4887852377385924
6155,3.846032955120421
6160,4.636820518618081
6165,5.142006220075645
6170,5.807585643063071
6175,6.279340249970569
6180,6.884526243501651
6185,7.870447598997183
6190,8.536624028203416
6195,9.66187396993134
6200,10.245279422796022
6205,11.707373611350585
6210,12.761193226788693
6215,14.02446793005077
6220,15.279245508164365
6225,16.700494286077117
6230,17.589987246874962
6235,18.822250240587312
6240,19.762527721404453
6245,20.237933966819735
6250,20.686344929055018
6255,21.23471348662196
6260,21.793429393972836
6265,22.44359094571916
6270,22.629712023765006
6275,22.542843474749713
6280,23.119714239452097
6285,23.56587441047868
6290,23.80720382843092
6295,24.073476122837036
6300,24.5534276421905
6305,24.653627361433742
6310,24.418874151074853
6315,24.520912132121612
6320,24.93318951279689
6325,25.1056571834333
6330,24.643683789500802
6335,24.372868218885607
6340,24.76038358723016
6345,25.114588854016674
6350,25.47785359938603
6355,25.692381620031238
6360,25.83533612596164
6365,25.667603291920493
6370,25.80899258700969
6375,26.194075849345506
6380,26.894207901445178
6385,27.086207618780918
6390,27.309137888249825
6395,27.398432560863682
6400,27.591297459905253
6405,27.53962945448662
6410,28.086295977365847
6415,28.33015378975807
6420,28.479775295841783
6425,28.26322343352888
6430,27.864076440495268
6435,28.508606544610053
6440,28.74441447408128
6445,29.241706181297978
6450,29.729923502006322
6455,30.864168226341512
6460,31.517425118936693
6465,32.49926795412616
6470,33.58389054719055
6475,35.58711320440007
6480,37.1747938966439
6485,38.301109340996746
6490,39.31840598602328
6495,39.53497040184128
6500,39.840016452547204
6505,39.68993405524418
6510,39.9422170912149
6515,39.68646267298217
6520,39.02587918445765
6525,37.847497857206335
6530,37.05521661732034
6535,35.55040489335262
6540,34.92387105669798
6545,34.84673737568984
6550,34.21271793349248
6555,33.438104822715495
6560,32.27069901024367
6565,32.002013405432066
6570,31.656871511490017
6575,30.989649961360374
6580,30.475450877317105
6585,30.935357276036513
6590,30.519184570724946
6595,29.91973124226012
6600,29.783055430137047
6605,29.826217752048933
6610,30.051256475757224
6615,29.63751293528248
6620,29.189440475341332
6625,29.457097025998838
6630,29.757262300959646
6635,29.088929231955394
6640,28.85137826307647
6645,28.821568049960582
6650,29.159605428608764
6655,29.37854166771096
6660,29.501570983908692
6665,29.430706263185243
6670,29.89519840419846
6675,30.200105968557704
6680,30.321191372495257
6685,30.711481431624655
6690,31.009087639824223
6695,30.97097068167547
6700,30.873979696666133
6705,31.220629308614047
6710,31.57195506693709
6715,31.618900306036842
6720,30.998256473688656
6725,30.248653911058312
6730,29.925537854832555
6735,29.381462493651316
6740,29.234394175058895
6745,29.387299192782375
6750,29.03334218221615
6755,27.949340863269747
6760,27.080588948031128
6765,26.46720865855408
6770,26.142989131628326
6775,26.223589028048195
6780,25.531280394368267
6785,25.458813097284413
6790,24.6328904646969
6795,23.711392527911467
6800,23.206512127097376
6805,23.09783250696836
6810,22.72406405373749
6815,22.375287156284717
6820,22.270078623963112
6825,21.677196101885322
6830,21.451966249480527
6835,21.115203405463816
6840,20.515055634206437
6845,20.159286754129056
6850,19.503165657373195
6855,18.646115253906427
6860,18.107767330640318
6865,17.519660406235538
6870,16.926888004439157
6875,16.191991176170497
6880,15.370122159351306
6885,14.534564620878578
6890,13.688514912890142
6895,13.286101191302526
6900,13.039528681463015
6905,12.854762313111882
6910,12.506474423829653
6915,12.329609186194828
6920,11.744297973702661
6925,11.263279437043497
6930,11.374910330311682
6935,10.842622067526431
6940,10.939407179090598
6945,10.481773082468681
6950,9.6551760445147
6955,9.085184746265295
6960,8.573982515318338
6965,8.269701214091572
6970,8.016299513359318
6975,8.0677751605274
6980,7.584152339019111
6985,7.533085243185025
6990,7.585005520733328
6995,7.31033239910406
7000,7.565441894219485
7005,7.3850292612457284
7010,7.107738488092906
7015,6.713927061131672
7020,7.0287402079442725
7025,6.696389696484135
7030,6.234245417707276
7035,5.983650717515557
7040,5.8152307528422025
7045,5.858085816739001
7050,5.996201274572831
7055,5.746700880918091
7060,5.6798648545015435
