normalised_time (min),dlprbUsage
0,26.782500000000002
5,30.134999999999998
10,30.487500000000004
15,30.284999999999997
20,28.672499999999996
25,26.932499999999997
30,26.97
35,27.54
40,26.9625
45,25.3275
50,23.1675
55,20.092499999999998
60,19.305000000000003
65,23.28
70,24.2925
75,27.5025
80,26.7075
85,26.235000000000003
90,27.045
95,28.402500000000003
100,28.845
105,29.287499999999998
110,30.96
115,27.900000000000002
120,29.429999999999996
125,28.08
130,28.605
135,27.5625
140,27.869999999999997
145,28.484999999999996
150,29.212500000000002
155,29.805
160,29.137499999999996
165,29.384999999999994
170,27.96
175,26.797499999999996
180,27.9825
185,30.060000000000006
190,29.137500000000003
195,28.1325
200,27.367499999999996
205,26.0925
210,24.795
215,23.3775
220,22.544999999999998
225,23.25
230,23.805000000000003
235,23.535000000000004
240,24.6075
245,25.1475
250,27.119999999999997
255,27.2925
260,28.9575
265,30.165000000000003
270,32.535000000000004
275,32.5125
280,32.5275
285,31.762499999999996
290,30.9825
295,29.827499999999997
300,27.525000000000002
305,29.130000000000003
310,28.432499999999997
315,27.389999999999997
320,25.155
325,25.215000000000003
330,24.869999999999997
335,25.3275
340,27.817500000000003
345,32.94
350,36.03
355,37.49999999999999
360,43.1025
365,47.5575
370,58.335
375,61.875
380,66.825
385,70.575
390,71.13749999999999
395,69.9525
400,67.8825
405,66.0075
410,63.87
415,66.6
420,58.657500000000006
425,63.067499999999995
430,65.65500000000002
435,66.77250000000001
440,72.4875
445,78.63
450,81.435
455,83.0025
460,80.09249999999999
465,74.415
470,73.7325
475,66.6525
480,59.3775
485,56.625
490,52.67999999999999
495,47.58
500,50.25
505,55.1025
510,59.3775
515,61.417500000000004
520,66.195
525,69.92249999999999
530,69.27749999999999
535,70.575
540,69.86999999999999
545,70.215
550,68.90249999999999
555,66.9
560,65.1075
565,64.5675
570,60.705
575,57.89999999999999
580,61.290000000000006
585,60.75
590,59.677499999999995
595,57.89999999999999
600,54.74250000000001
605,51.3975
610,49.019999999999996
615,47.595
620,46.035
625,43.4175
630,38.970000000000006
635,36.2325
640,33.419999999999995
645,30.78
650,28.162499999999998
655,27.2175
660,27.5175
665,25.702500000000004
670,24.952500000000004
675,25.447499999999998
680,27.412499999999998
685,26.782500000000002
690,26.692500000000003
695,26.587500000000002
700,26.505000000000003
705,25.0875
710,23.4075
715,27.585
720,27.037499999999998
725,25.3275
730,21.75
735,20.325
740,18.555
745,16.8975
750,16.185000000000002
755,15.345000000000002
760,13.9575
765,8.4225
770,6.4425
775,5.6925
780,5.077500000000001
785,4.8
790,4.2675
795,3.8325
800,3.5250000000000004
805,2.94
810,2.5125
815,2.6999999999999997
820,2.8725000000000005
825,3.1875
830,3.4725000000000006
835,3.7125
840,4.0275
845,6.0600000000000005
850,7.852500000000001
855,8.655
860,9.6675
865,10.2525
870,11.0025
875,11.5575
880,12.502500000000001
885,12.945000000000002
890,13.387499999999998
895,11.8125
900,10.665
905,10.207500000000001
910,10.379999999999999
915,10.4625
920,11.85
925,13.47
930,13.987499999999999
935,13.867499999999998
940,13.9575
945,15.075000000000001
950,15.082500000000001
955,15.367500000000003
960,14.9775
965,13.979999999999997
970,12.21
975,10.192499999999999
980,9.787500000000001
985,9.375
990,10.005
995,9.21
1000,9.315
1005,9.5025
1010,10.3425
1015,12.007500000000002
1020,12.54
1025,13.38
1030,13.057500000000001
1035,13.6575
1040,13.537500000000001
1045,13.7025
1050,14.084999999999997
1055,15.2775
1060,17.0625
1065,20.205
1070,22.275
1075,23.595
1080,25.53
1085,26.205
1090,26.7225
1095,29.534999999999997
1100,32.52
1105,34.125
1110,33.772499999999994
1115,31.222499999999997
1120,31.5375
1125,31.814999999999994
1130,29.5275
1135,29.775000000000002
1140,29.73
1145,27.375
1150,25.365000000000002
1155,22.365000000000002
1160,22.229999999999997
1165,21.2325
1170,19.5075
1175,20.4525
1180,24.87
1185,26.205
1190,28.462499999999995
1195,29.3625
1200,28.7925
1205,31.845000000000002
1210,33.2025
1215,33.997499999999995
1220,34.657500000000006
1225,32.925
1230,29.955
1235,28.305
1240,25.882499999999997
1245,26.6775
1250,27.375
1255,27.120000000000005
1260,25.942500000000003
1265,27.720000000000002
1270,29.692500000000003
1275,30.3375
1280,31.4175
1285,31.964999999999996
1290,32.9025
1295,31.44
1300,32.287499999999994
1305,33.3225
1310,32.347500000000004
1315,30.8775
1320,28.837500000000002
1325,30.232499999999998
1330,31.44
1335,34.230000000000004
1340,38.91
1345,40.68
1350,39.63
1355,41.3175
1360,44.1
1365,44.05500000000001
1370,45.06000000000001
1375,45.08250000000001
1380,45.00749999999999
1385,45.2175
1390,42.5025
1395,43.17
1400,43.6575
1405,44.010000000000005
1410,47.6775
1415,51.2025
1420,54.915
1425,52.335
1430,50.28
1435,47.220000000000006
1440,44.385000000000005
1445,42.3675
1450,41.07749999999999
1455,39.269999999999996
1460,40.4325
1465,37.177499999999995
1470,33.69
1475,34.665
1480,36.3375
1485,37.9125
1490,40.3725
1495,41.835
1500,45.8325
1505,47.88
1510,42.300000000000004
1515,44.6175
1520,44.3925
1525,45.2625
1530,43.275000000000006
1535,41.1825
1540,38.43000000000001
1545,36.705
1550,34.777499999999996
1555,30.5625
1560,27.869999999999997
1565,24.712499999999995
1570,22.9875
1575,25.4925
1580,28.169999999999995
1585,28.455000000000005
1590,30.869999999999997
1595,31.740000000000002
1600,29.534999999999997
1605,28.5975
1610,30.427500000000002
1615,30.794999999999998
1620,31.7025
1625,29.070000000000004
1630,27.172500000000003
1635,28.094999999999995
1640,26.6925
1645,25.1325
1650,26.362499999999997
1655,26.5425
1660,26.302500000000002
1665,27.119999999999997
1670,28.3725
