,time,normal_time,partition,prbUsage,sd,sst
0,2024-09-21T09:16:33Z,09:16:33,40,0.0,0,1
1,2024-09-21T09:16:33Z,09:16:33,11,0.0,16777210,1
2,2024-09-21T09:16:39Z,09:16:39,40,0.0,0,1
3,2024-09-21T09:16:39Z,09:16:39,11,0.0,16777210,1
4,2024-09-21T09:16:44Z,09:16:44,40,0.0,0,1
5,2024-09-21T09:16:44Z,09:16:44,11,0.0,16777210,1
6,2024-09-21T09:16:49Z,09:16:49,40,0.0,0,1
7,2024-09-21T09:16:49Z,09:16:49,11,0.0,16777210,1
8,2024-09-21T09:16:54Z,09:16:54,40,0.0,0,1
9,2024-09-21T09:16:54Z,09:16:54,11,0.0,16777210,1
10,2024-09-21T09:16:59Z,09:16:59,40,0.0,0,1
11,2024-09-21T09:16:59Z,09:16:59,11,0.0,16777210,1
12,2024-09-21T09:17:04Z,09:17:04,40,0.0,0,1
13,2024-09-21T09:17:04Z,09:17:04,11,0.0,16777210,1
14,2024-09-21T09:17:09Z,09:17:09,40,0.0,0,1
15,2024-09-21T09:17:09Z,09:17:09,11,0.0,16777210,1
16,2024-09-21T09:17:14Z,09:17:14,40,0.0,0,1
17,2024-09-21T09:17:14Z,09:17:14,11,0.0,16777210,1
18,2024-09-21T09:17:19Z,09:17:19,40,0.0,0,1
19,2024-09-21T09:17:19Z,09:17:19,11,0.0,16777210,1
20,2024-09-21T09:17:24Z,09:17:24,40,0.0,0,1
21,2024-09-21T09:17:24Z,09:17:24,11,0.0,16777210,1
22,2024-09-21T09:17:29Z,09:17:29,40,0.0,0,1
23,2024-09-21T09:17:29Z,09:17:29,11,0.0,16777210,1
24,2024-09-21T09:17:34Z,09:17:34,40,0.0,0,1
25,2024-09-21T09:17:34Z,09:17:34,11,0.0,16777210,1
26,2024-09-21T09:17:39Z,09:17:39,40,0.0,0,1
27,2024-09-21T09:17:39Z,09:17:39,11,0.0,16777210,1
28,2024-09-21T09:17:44Z,09:17:44,40,0.0,0,1
29,2024-09-21T09:17:44Z,09:17:44,11,0.0,16777210,1
30,2024-09-21T09:17:49Z,09:17:49,40,0.0,0,1
31,2024-09-21T09:17:49Z,09:17:49,11,0.0,16777210,1
32,2024-09-21T09:17:54Z,09:17:54,24,0.0,0,1
33,2024-09-21T09:17:54Z,09:17:54,27,0.0,16777210,1
34,2024-09-21T09:17:59Z,09:17:59,24,0.0,0,1
35,2024-09-21T09:17:59Z,09:17:59,27,0.0,16777210,1
36,2024-09-21T09:18:04Z,09:18:04,24,0.0,0,1
37,2024-09-21T09:18:04Z,09:18:04,27,0.0,16777210,1
38,2024-09-21T09:18:09Z,09:18:09,24,0.0,0,1
39,2024-09-21T09:18:09Z,09:18:09,27,0.0,16777210,1
40,2024-09-21T09:18:14Z,09:18:14,24,0.0,0,1
41,2024-09-21T09:18:14Z,09:18:14,27,0.0,16777210,1
42,2024-09-21T09:18:19Z,09:18:19,24,0.0,0,1
43,2024-09-21T09:18:19Z,09:18:19,27,0.0,16777210,1
44,2024-09-21T09:18:24Z,09:18:24,24,0.0,0,1
45,2024-09-21T09:18:24Z,09:18:24,27,0.0,16777210,1
46,2024-09-21T09:18:29Z,09:18:29,24,0.0,0,1
47,2024-09-21T09:18:29Z,09:18:29,27,0.0,16777210,1
48,2024-09-21T09:18:34Z,09:18:34,24,0.0,0,1
