"( 1, 0) ","( 1, 16777210) ",Time
0.0,0.0,0
0.0,0.0,1
0.0,0.0,2
5.11146,0.42803,3
26.3021,0.155303,4
17.5479,0.0265152,5
0.969792,0.00757576,6
0.13125,0.00757576,7
0.0,0.00378788,8
0.0197917,0.0,9
0.0,0.0,10
0.0,0.0,11
0.0,0.0,12
0.0,0.0,13
0.0,0.0,14
0.0,0.0,15
0.0,0.0,16
0.0,0.0,17
0.0,0.0,18
0.0,0.0719697,19
0.0,0.0795455,20
0.0,0.0,21
0.0,0.0,22
0.0,0.0,23
0.0,0.0,24
0.0,0.0,25
0.0,0.0,26
0.0,0.0,27
0.0,0.0,28
0.0,0.0,29
6.51771,0.0,30
29.2719,0.0,31
0.54375,0.0,32
0.0125,0.0,33
0.307292,0.00757576,34
0.0,0.0,35
1.39479,0.00757576,36
0.329167,0.0,37
0.0260417,0.0,38
0.378125,0.0,39
0.0,0.0,40
0.0760417,0.0,41
0.0,0.0,42
0.0,0.0719697,43
6.60313,64.3598,44
83.8042,90.822,45
90.0958,96.0947,46
90.3,99.2992,47
63.7104,69.3182,48
91.0115,98.0568,49
90.1667,99.4129,50
88.1479,93.0985,51
90.0167,99.6136,52
90.7917,99.4886,53
90.6667,99.4205,54
38.5115,99.4129,55
38.3656,99.4697,56
41.076,99.3788,57
38.7375,99.5303,58
38.126,99.5455,59
39.4292,99.3712,60
39.0406,99.5114,61
41.4552,99.322,62
43.4917,99.125,63
40.4615,99.3258,64
38.5208,99.4811,65
37.9146,99.375,66
44.3302,99.2992,67
40.3229,99.3712,68
38.0417,99.5303,69
38.5146,99.5644,70
42.6365,99.0644,71
45.3573,99.1402,72
45.2375,69.5682,73
44.7521,0.0,74
41.0438,0.0,75
38.3125,0.0,76
39.249,0.0,77
38.7708,0.0,78
43.701,0.0,79
38.8115,0.0,80
38.2687,0.0,81
42.0312,0.0,82
38.8583,0.0,83
38.5458,0.0,84
42.6385,72.4545,85
38.9052,99.3977,86
38.8302,99.4205,87
37.8594,99.5568,88
38.1781,99.5871,89
38.1094,99.5644,90
38.0312,99.4583,91
39.6094,99.2803,92
38.3385,99.5492,93
46.6458,99.0076,94
39.8094,99.1894,95
40.0177,99.2917,96
44.0167,94.6932,97
48.5031,95.8182,98
46.3771,98.928,99
44.4979,99.0152,100
46.3219,98.8826,101
44.8427,99.1061,102
79.4198,96.9508,103
88.8479,94.9583,104
60.4896,64.4545,105
86.9698,93.8447,106
90.8344,97.5644,107
90.3906,99.0682,108
90.2198,99.6439,109
98.5542,12.2197,110
91.0427,0.0,111
40.9583,0.0,112
37.1979,0.0,113
36.9031,0.0,114
40.9365,0.0,115
38.6823,0.0,116
