"( 1, 0) ","( 1, 16777210) ",Time
0.0,0.0,0
0.0,0.0,1
0.0,0.0,2
2.39583,0.0265152,3
0.0,0.462121,4
7.85,0.0227273,5
0.065625,0.00757576,6
0.0,0.00757576,7
0.0,0.0113636,8
0.0,0.0,9
0.0,0.0,10
0.0,0.0,11
0.0,0.0,12
0.0,0.0,13
0.0,0.0,14
0.0,0.0,15
0.0,0.0,16
0.0,0.0,17
0.0,0.0,18
0.0,0.0795455,19
0.0,0.0871212,20
0.0,0.0,21
0.0,0.0,22
0.0,0.0,23
0.0,0.0,24
0.0,0.0,25
0.0,0.0,26
0.0,0.0,27
0.0,0.0,28
0.0177083,0.0,29
0.00833333,0.0,30
0.00729167,0.0,31
0.0,0.0,32
0.00833333,0.0,33
0.0,0.0,34
0.0,0.0,35
0.0,0.0,36
0.0,0.0,37
0.0,0.0,38
0.00729167,0.0,39
6.76354,0.0,40
0.561458,0.0,41
0.0,0.0,42
0.0,0.0,43
0.0,0.0,44
0.0,0.0,45
0.0,0.0,46
0.0,0.0,47
0.0,0.0,48
0.00625,0.0,49
0.0,0.0,50
4.97917,0.0,51
0.040625,0.0,52
0.0,0.0,53
0.0,0.0,54
0.0,0.0,55
0.0,0.0,56
0.0,0.0,57
0.0,0.0,58
0.0,0.0340909,59
0.0,72.9811,60
54.9438,95.8977,61
90.2073,98.2727,62
91.6115,98.8068,63
90.4969,98.1705,64
90.7021,99.2765,65
90.2437,99.2008,66
90.5938,99.5947,67
90.5094,98.8902,68
90.1427,99.2538,69
89.8687,99.5909,70
90.0938,99.7008,71
89.9542,99.3295,72
90.5812,99.3523,73
56.9438,99.8598,74
39.0438,99.9773,75
41.1813,99.8674,76
40.2969,99.9583,77
45.824,94.7462,78
55.5969,99.3106,79
48.349,99.4697,80
55.1354,99.1553,81
66.5938,99.125,82
63.9552,99.4583,83
46.0583,53.053,84
44.5906,44.822,85
39.8656,40.0038,86
89.1146,97.7311,87
90.3104,98.9432,88
91.4167,85.2727,89
99.7833,0.0,90
99.4073,0.0,91
94.7563,52.4432,92
92.2469,82.5644,93
84.849,92.7008,94
93.0615,12.1326,95
92.2917,82.5795,96
62.6958,65.8712,97
43.9698,54.7348,98
73.0865,99.7765,99
43.7646,99.9053,100
38.926,100.0,101
31.4833,49.7008,102
59.9844,73.6136,103
89.8,99.553,104
48.6021,99.7462,105
48.6917,99.625,106
42.7271,99.822,107
40.376,100.0,108
49.5729,93.1402,109
55.174,99.4886,110
55.2729,93.3258,111
54.5333,99.5871,112
50.0187,99.7689,113
44.1885,99.697,114
41.0427,99.8674,115
39.9146,100.042,116
40.7375,99.9129,117
46.0042,99.7992,118
40.8437,99.8902,119
55.5719,86.2311,120
30.3885,17.9583,121
90.9396,98.9924,122
90.5823,98.9697,123
90.0479,99.5189,124
70.3792,99.7121,125
40.9292,100.0,126
39.5875,99.9962,127
39.0031,99.9583,128
38.9937,99.9621,129
39.0438,100.0,130
40.3156,99.9508,131
0.0,0.0,132
