Actual,Predicted
23.1675,24.439747
20.0925,22.085049
19.305000000000003,18.812231
23.28,18.456253
24.2925,26.171944
27.5025,25.492464
26.7075,30.049887
26.235000000000003,27.019499
27.045,25.844767
28.402500000000003,27.82838
28.845,29.283947
29.2875,29.25927
30.96,29.62022
27.9,32.149815
29.43,26.339275
28.08,29.91727
28.605,27.338413
27.5625,28.389284
27.87,27.038324
28.485,27.729628
29.2125,28.950333
29.805,29.58417
29.1375,30.23898
29.384999999999994,28.629538
27.96,29.363586
26.7975,26.98689
27.9825,25.78678
30.06000000000001,28.632132
29.137500000000003,31.45431
28.1325,28.611244
27.3675,27.33406
26.0925,26.764017
24.795,25.112621
23.3775,23.931969
22.545,22.535793
23.25,21.953821
23.805000000000003,23.6372
23.535000000000004,24.301897
24.6075,23.599998
25.1475,25.668655
27.12,25.853167
27.2925,28.760244
28.9575,27.865637
30.165000000000003,30.181467
32.535000000000004,31.26283
32.5125,34.12641
32.5275,32.579227
31.7625,32.184086
30.9825,30.995989
29.8275,29.955425
27.525,28.698046
29.130000000000003,25.795092
28.4325,29.800865
27.39,27.978922
25.155,26.372656
25.215000000000003,23.981846
24.87,24.943289
25.3275,24.62119
27.817500000000003,25.568024
32.94,29.817293
36.03,36.70969
37.49999999999999,38.44706
43.1025,38.7152
47.5575,47.53029
58.335,51.58184
61.875,64.46288
66.825,67.194595
70.575,70.070496
71.13749999999999,71.97645
69.9525,71.010994
67.8825,69.1026
66.0075,66.88294
63.87,65.33816
66.6,63.53386
58.657500000000006,67.02283
63.0675,59.458908
65.65500000000002,63.48611
66.77250000000001,67.214035
72.4875,68.45674
78.63,72.59923
81.435,74.20832
83.0025,74.56333
80.09249999999999,74.65342
74.415,74.570984
73.7325,72.65397
66.6525,71.7844
59.3775,64.89403
56.625,58.90254
52.67999999999999,54.743877
47.58,50.18419
50.25,44.113102
55.1025,51.900455
59.3775,59.0318
61.4175,63.92908
66.195,65.01815
69.92249999999999,68.836845
69.27749999999999,71.240486
70.575,69.40639
69.86999999999999,70.245964
70.215,69.11619
68.90249999999999,69.65079
66.9,68.18515
65.1075,66.26727
64.5675,64.74201
60.705,64.54001
57.89999999999999,60.76484
61.290000000000006,57.413055
60.75,62.247974
59.6775,62.433594
57.89999999999999,61.197266
54.74250000000001,58.53256
51.3975,54.063828
49.02,49.47481
47.595,47.146763
46.035,46.511497
43.4175,44.86719
38.970000000000006,41.16451
36.2325,34.932358
33.419999999999995,33.60599
30.78,30.820314
28.1625,28.406765
27.2175,26.08577
27.5175,26.028475
25.702500000000004,27.296852
24.952500000000004,24.591047
25.4475,24.366362
27.4125,25.719666
26.7825,28.77637
26.692500000000003,26.707851
26.5875,26.645378
26.505000000000003,26.665678
25.0875,26.38243
23.4075,24.377998
27.585,22.50873
27.0375,30.36299
25.3275,27.42224
21.75,24.075562
20.325,20.507011
18.555,19.28707
16.8975,17.236319
16.185000000000002,15.44434
15.345000000000002,14.801351
13.9575,13.803512
8.4225,12.164321
6.4425,7.380417
