Actual,Predicted
0.278788,0.06645933
1.3795456,0.13794681
3.6689394,2.3790524
7.340909,6.576102
17.1196968,14.76126
33.176515,31.217758
42.8060604,43.07218
49.687121000000005,50.554
57.8583332,56.824512
58.335606,61.21969
58.63333320000001,57.839493
58.378030200000005,60.638138
61.26666660000001,62.53913
65.0424242,64.771545
61.9568182,65.08839
59.5075758,59.550415
63.3363636,62.232826
63.4742424,63.76052
56.97500000000001,61.086037
52.21287880000001,56.62416
40.79318180000001,45.19165
28.970454600000004,32.470966
18.205303200000003,18.752756
9.4954546,8.788539
7.0871212,6.6942215
4.790909,6.106168
4.8787878000000005,4.2613754
7.536363400000001,7.290355
18.0795452,16.870173
31.2045452,31.816204
46.3030302,46.49235
56.8196968,57.720776
66.6931818,67.94234
67.1477274,71.7751
71.869697,75.57405
72.75757580000001,77.24813
75.05681820000001,76.81132
72.7113636,76.55631
76.6128788,75.61066
70.5083334,72.11231
57.916666600000006,60.43076
44.330303,47.194324
33.485606000000004,33.625786
18.4386362,19.75127
6.7931816000000005,7.3925343
4.8727272,5.611295
7.010606,7.642609
14.2492424,14.465422
30.5545454,29.911259
43.0795454,43.748238
55.7249998,55.116493
64.8848484,66.71815
71.34469680000001,75.97782
66.21818160000001,71.73032
62.4575756,67.79008
57.04999980000001,59.50911
57.6037876,60.094067
54.2348482,58.153423
46.8613634,53.17832
40.5560604,41.664783
33.630303000000005,31.653877
21.593939400000004,22.636692
10.505303200000002,9.495758
6.491666800000001,6.359013
7.044697200000002,5.5402937
9.062879000000002,10.860766
16.6030304,19.111797
31.078030400000003,31.872662
44.80454560000001,44.699196
50.12575760000001,52.146774
63.231060600000006,62.471615
68.4053032,67.574394
69.3363638,71.06177
69.27500020000001,73.967865
71.9280306,76.55926
70.0977276,75.080795
69.6416668,76.079895
68.9734848,71.061455
68.7681818,68.462715
60.79696959999999,62.00093
48.7045452,52.67205
36.3863634,39.1048
22.2590908,22.506224
8.726515000000001,8.152701
6.5757574000000005,6.2497296
8.0287878,8.530747
15.430303,15.202227
26.822727200000003,29.592583
38.4651514,41.763165
48.193181800000005,50.21442
53.6280302,54.313545
57.0196968,58.099613
56.035605800000006,58.816578
51.07272700000001,57.35352
45.497727,47.794804
43.71287860000001,43.26633
37.1401514,38.974007
33.1530302,32.11295
34.8484848,35.66662
33.8075756,34.37752
37.365909,38.217216
37.0484848,37.56677
37.0530304,36.425076
37.0363638,37.754086
36.67197,35.65424
30.3000002,31.108564
33.2015154,32.975983
29.5810608,29.12104
21.2719698,24.23775
17.5628788,17.63442
12.0515152,10.697273
3.6931818,4.089602
0.0492424,0.757201
0.2931818,0.2136986
0.6734848,-0.040028304
0.6734848,0.39311084
0.6734848,0.3875605
0.6734848,0.14252448
0.380303,-0.1726278
0.0,-0.5875933
0.0,-0.74011093
0.1613636,-0.25065893
0.5901514000000001,0.2719858
2.4689392000000003,0.62410754
4.7090908,4.1719694
6.3780302,4.854736
7.040909000000001,5.3582
6.623484800000001,5.474678
5.310606,4.8458266
5.1696968000000005,3.4335725
7.587121000000001,6.13848
20.3310604,19.301657
34.4643938,34.730206
49.2583332,48.321514
63.0060604,63.29675
74.0333332,75.373184
77.246212,77.37796
80.4227272,77.69678
80.1022728,77.65148
79.0212122,77.32588
71.1416668,76.66315
58.09242439999999,58.78886
43.29621219999999,47.16493
29.8545454,32.884106
15.9318182,17.81034
8.6977272,6.9656324
5.805303,5.9575834
6.0037878,6.5316334
13.0015152,9.967484
26.1325758,28.84769
40.575,41.52666
54.8371212,55.08224
67.5689394,67.67065
74.4393938,76.30888
76.3333332,77.500595
67.20227259999999,77.589
59.8007574,58.256508
52.5454544,54.647327
47.7575758,50.05567
44.709091,42.14721
53.3318184,49.264133
61.7462124,61.318848
55.434848800000005,56.911995
47.8901518,50.242386
37.6356064,39.68624
24.748485,24.802998
9.283333400000002,10.865307
7.394697000000001,7.2969074
5.2780302,7.4973993
6.1075756000000005,5.920268
14.280303,12.475514
28.4931818,29.445612
42.9537878,43.653763
55.61666660000001,56.02301
66.2287878,67.71482
72.29015140000001,75.07019
77.46969680000001,77.413956
77.365909,77.47998
77.6045454,77.39234
76.3825756,76.86367
76.9143938,76.04999
72.2310606,73.08031
62.68939399999999,63.645866
50.975,52.913754
39.825,41.463284
24.369697,25.949747
9.1015152,9.618424
7.448484799999999,6.5115676
15.6181818,10.77215
30.003788,30.350712
45.8371212,46.105118
59.221212,59.95026
71.6174242,72.08251
75.7431818,76.4054
75.0643938,77.402405
74.2992424,77.4002
76.68106060000001,77.30951
76.52651499999999,76.791466
73.537121,74.18132
68.29772720000001,68.39008
55.97424240000001,59.480534
42.07727280000001,45.99414
28.360606200000007,31.360415
18.318939600000004,16.467428
8.384091,8.329215
5.5537878,6.01888
6.216666399999999,6.3320346
7.6045452,8.769221
18.791666400000004,19.391504
31.6234846,33.76752
47.710606000000006,47.65609
61.3022728,61.093906
73.06439400000001,73.05239
76.43106060000001,77.02256
78.30757580000001,77.69012
69.160606,77.64294
55.2348484,58.3396
41.63863620000001,44.6291
25.940909,28.877033
11.6651514,12.595033
6.781060600000001,7.1139646
10.590909,6.44815
24.050000000000004,24.179972
36.9522728,39.04
47.5318182,50.35471
61.355303000000006,63.6539
74.17045460000001,74.76985
72.823485,76.86347
71.55303040000001,77.27162
80.4151516,77.46838
79.2424242,77.281006
75.2295454,76.4829
79.340909,73.84599
69.0992424,72.77338
51.6015152,55.130054
38.6348486,41.99917
23.74924259999999,26.669651
6.848485000000001,9.637489
8.25,6.601691
14.3962122,14.670897
21.089394,23.350851
30.003787800000005,33.242527
45.80681800000001,47.23338
58.066666600000005,59.141678
64.39696959999999,62.406784
61.40303019999999,63.31673
68.35909079999999,69.42603
67.4045454,73.47112
66.8181818,70.44654
67.0098484,60.98477
72.2878788,70.7524
59.590151600000006,64.593994
46.1219698,50.70687
32.856060600000006,35.186466
17.8477272,19.635866
6.954545399999999,6.76268
5.9166666,5.6764617
13.8037878,9.387931
27.2015152,29.148054
42.6159092,43.83826
57.1227274,58.73274
69.23636379999999,71.34279
72.45984859999999,75.71956
75.3681818,77.492065
77.5484848,77.51597
77.0742422,77.390594
77.3999998,76.80998
79.3689392,76.35799
70.4886362,74.019196
55.696212,57.13829
43.4333332,45.133335
30.515909,32.050606
16.341666600000003,17.829456
7.5234848,7.1373963
5.009848400000001,5.6657352
5.3575758,6.7990026
7.377272599999999,7.7402005
20.4484848,20.647715
35.0977272,35.709007
49.5901514,50.04429
63.63863620000001,63.568523
76.29166660000001,74.48406
79.8780302,77.296364
80.00151500000001,77.711136
79.92651500000001,77.64448
77.885606,77.32615
76.9,76.49128
70.330303,73.88363
58.654545600000006,58.860394
45.92197,48.518658
33.3977274,35.40668
18.4257576,19.9759
7.5295454,7.3815265
6.0333332,5.7390795
7.4090908,9.04177
15.1295454,14.419125
30.265909,29.69637
40.9530304,43.582386
45.8545456,50.531837
43.205303,44.107094
39.2530304,38.623344
30.205303200000003,29.028019
25.9939394,26.287865
22.3984848,24.350716
27.234091000000003,27.43848
31.293939400000006,32.30474
34.8522728,33.933903
39.6772728,40.615772
47.1151516,49.058735
51.481818200000006,52.5108
55.4984848,55.711964
53.68106040000001,56.518127
54.335606000000006,55.35571
55.85000000000001,56.387947
53.005303000000005,57.413517
42.28939400000001,46.30318
36.0515154,38.00237
24.9833336,24.47731
13.0007578,14.859299
6.3295458,7.085894
5.555303400000001,5.4497538
9.1280306,7.2893333
21.4651518,22.665384
36.2174244,37.289093
50.719697,51.301716
63.8742424,65.49678
74.30530300000001,74.55875
78.7878786,77.396416
79.28106059999999,77.645996
79.403788,77.62461
78.7265152,77.29932
76.9977274,76.630394
72.7090912,73.490295
60.656818400000006,65.01278
47.91515160000001,50.189323
34.998484999999995,37.423122
21.638636400000003,21.102257
8.3348484,7.4907775
5.5257574,5.944188
3.8272726,7.361977
5.828030200000001,5.3128133
14.165909,13.798136
29.6590908,29.88199
43.9568182,44.178112
56.9136364,56.75271
64.6257576,68.717384
67.3409092,70.25076
59.9659092,65.581696
59.2431818,59.00098
55.1666666,59.41776
57.196212,58.353962
54.7386362,58.459198
55.81136359999999,55.422024
44.8659092,49.440353
38.82954560000001,39.304863
27.1242426,29.044157
18.6303032,16.839134
9.456818200000004,8.825801
6.435606000000001,6.4475803
2.8166666000000005,5.2040625
1.1674242,2.7774348
0.1727271999999999,0.78925693
0.0,-0.08827436
0.0,0.13566777
0.0,-0.11358172
0.0,-0.31539732
0.0,-0.5484532
0.0,-0.63978976
0.0,-0.6295211
0.0,-0.36434162
0.0,-0.08179036
0.0,-0.0033632517
0.0121212,0.00033041835
0.1598483999999999,0.014169127
0.1598483999999999,0.18218185
0.7121212,0.028459609
0.7136364000000001,0.8788041
0.9174242,0.13157153
0.7696970000000001,0.5772102
1.5333334,0.17499423
7.6651516,2.255469
21.3128788,20.637903
34.741666800000004,35.53431
51.2424244,51.761845
68.959091,69.47313
76.9439394,76.59373
77.6583334,77.584496
78.2318182,77.5164
75.57121219999999,77.16521
70.5113638,76.49407
60.0204548,63.386692
47.74015179999999,50.82917
35.000757799999995,37.458096
21.6189396,21.289398
8.198485,8.066534
4.8333334,5.9526687
8.0924242,6.6423163
16.9780304,19.388475
31.5159092,32.942104
48.31742439999999,47.136612
57.698485,60.236538
65.928788,65.02588
70.32803039999999,72.91962
70.5704546,75.08605
69.7280304,70.99255
75.5242426,76.86303
77.49848499999999,76.0511
66.23484859999999,72.259605
54.3159092,54.45793
40.9174242,43.909706
26.1583332,28.373915
11.0204546,12.068459
7.5204546,7.0310073
5.5045454000000005,7.6028595
5.228030400000001,6.824611
4.0371214,7.8685355
3.656818200000001,3.575896
3.656818200000001,2.1790879
2.3530304,1.7112789
0.0689394,-0.031454623
0.0287878,-0.8072967
0.0,-0.21269757
0.0,-0.47912252
0.0,-0.19514853
0.0,-0.4908318
0.0,-0.5479465
0.0422728,-0.5620381
0.0959092,-0.46015292
0.1359092,-0.16279823
0.1759092,0.06593263
0.2159092,0.08336222
0.2136364,0.11220342
0.414394,0.09749007
0.4333334,0.39265034
0.4333334000000001,0.1945813
0.478788,0.20906
1.5795456,0.2660616
3.8689394,2.6173656
7.540909000000001,6.737288
17.319696800000003,15.067063
33.376515000000005,31.561176
43.00606040000001,43.38627
49.88712100000001,50.565147
58.058333200000014,58.146263
58.53560600000001,61.824986
58.83333320000001,58.370052
58.5780302,60.93097
61.46666660000001,62.727077
65.2424242,64.93288
62.1568182,65.26309
59.7075758,59.69366
63.5363636,62.308094
63.6742424,63.83707
57.175,61.081333
52.41287880000001,56.78425
40.99318180000001,45.449585
29.1704546,32.91099
18.4053032,18.96452
9.6954546,8.84727
7.2871212,6.7275157
4.990909,6.1427565
5.078787800000001,4.400703
7.7363634,7.6389093
18.2795452,17.081192
31.4045452,31.883116
46.5030302,46.60349
57.019696800000006,57.8003
66.89318180000001,68.420494
67.34772740000001,72.27677
72.06969700000002,75.70273
72.9575758,77.27807
75.25681820000001,76.73182
72.91136360000002,76.563896
76.81287880000001,75.57374
70.7083334,72.19999
58.1166666,60.529587
44.530303,47.36512
33.68560600000001,33.86698
18.6386362,19.873466
6.9931816,7.365271
5.0727272,5.6333055
7.210606,7.79402
14.4492424,15.222517
30.7545454,30.105488
43.2795454,43.925713
55.92499980000001,54.975346
65.08484840000001,66.52959
71.54469680000001,75.98663
66.41818160000001,72.186134
62.65757560000001,67.98456
57.24999980000001,59.64617
57.80378760000001,60.342567
54.43484820000001,58.267845
47.061363400000005,53.486897
40.7560604,41.74502
33.830303,31.619572
21.793939400000003,22.802116
10.7053032,9.614277
6.691666799999999,6.4262147
7.2446972,5.584517
9.262879,11.340491
16.8030304,18.90493
31.2780304,31.863184
45.00454560000001,44.79463
50.3257576,52.09436
63.43106060000001,62.652557
68.60530320000001,67.60666
69.5363638,71.205246
69.47500020000001,74.270195
72.12803060000002,76.62557
70.2977276,75.29288
69.8416668,76.12805
69.1734848,70.9578
68.9681818,68.57146
60.9969696,62.343945
48.9045452,52.807083
36.5863634,39.289207
22.45909080000001,22.687788
8.926514999999998,8.221799
6.775757400000001,6.286889
8.2287878,8.629787
15.630303,15.555902
27.02272720000001,29.658525
38.665151400000006,41.885937
48.3931818,50.095036
53.82803020000001,54.40168
57.21969680000001,58.364883
56.2356058,58.977905
51.272727,57.59792
45.697727,48.016525
43.912878600000006,43.384552
37.3401514,39.273273
33.3530302,32.26587
35.048484800000004,35.789116
34.0075756,34.583145
37.565909000000005,38.344784
37.2484848,37.62482
37.2530304,36.63521
37.2363638,37.73133
36.871970000000005,35.61728
30.5000002,31.200588
33.4015154,32.912727
29.7810608,29.183558
21.4719698,24.327309
17.7628788,17.815832
12.251515199999998,11.053382
3.8931818,4.180015
0.2492424,0.83974963
0.4931818,0.25832748
